Iter 69 [ 15x 39, density=0.20, nnz= 105]: FAIL (Max error: 2.24e+02)
Iter 70 [ 24x 45, density=0.33, nnz= 367]: FAIL (Max error: 4.47e+02)
Iter 71 [  5x  9, density=0.23, nnz=  15]: FAIL (Max error: 8.10e+01)
Iter 72 [  6x 25, density=0.18, nnz=  17]: FAIL (Max error: 1.51e+02)
Iter 73 [  8x 37, density=0.27, nnz=  75]: FAIL (Max error: 2.77e+02)
Iter 74 [ 14x 39, density=0.22, nnz= 116]: FAIL (Max error: 3.40e+02)
Iter 75 [ 44x 38, density=0.14, nnz= 432]: FAIL (Max error: 2.85e+02)
Iter 76 [  9x  5, density=0.07, nnz=  21]: FAIL (Max error: 1.01e+43)
Iter 77 [ 30x 27, density=0.16, nnz= 203]: FAIL (Max error: 2.50e+02)
Iter 78 [ 23x 33, density=0.17, nnz= 134]: FAIL (Max error: 2.81e+02)
Iter 79 [ 23x 16, density=0.34, nnz= 191]: FAIL (Max error: 2.34e+02)
Iter 80 [ 33x 44, density=0.23, nnz= 326]: FAIL (Max error: 2.99e+02)
Iter 81 [ 38x 12, density=0.30, nnz= 198]: FAIL (Max error: 2.21e+44)
Iter 82 [ 10x 25, density=0.24, nnz=  45]: FAIL (Max error: 2.64e+02)
Iter 83 [ 39x  5, density=0.11, nnz=  76]: FAIL (Max error: 1.30e+02)
Iter 84 [ 28x 45, density=0.12, nnz= 180]: FAIL (Max error: 2.93e+02)
Iter 85 [ 12x 37, density=0.09, nnz=  34]: FAIL (Max error: 2.04e+02)
Iter 86 [ 11x 34, density=0.38, nnz= 159]: FAIL (Max error: 3.35e+02)
Iter 87 [ 26x 22, density=0.33, nnz= 243]: FAIL (Max error: 2.91e+02)
Iter 88 [ 11x 41, density=0.07, nnz=  32]: FAIL (Max error: 1.13e+02)
Iter 89 [ 11x 35, density=0.38, nnz= 141]: FAIL (Max error: 3.09e+02)
Iter 90 [  7x 25, density=0.07, nnz=  11]: FAIL (Max error: 5.03e+01)
Iter 91 [  6x 14, density=0.10, nnz=  11]: FAIL (Max error: 1.32e+02)
Iter 92 [  7x 20, density=0.20, nnz=  31]: FAIL (Max error: 1.38e+02)
Iter 93 [ 23x 23, density=0.18, nnz= 102]: PASS (Max error: 0.00e+00)
Iter 94 [  8x 24, density=0.29, nnz=  55]: FAIL (Max error: 1.68e+02)
Iter 95 [  9x 44, density=0.25, nnz= 111]: FAIL (Max error: 4.69e+02)
Iter 96 [ 17x  9, density=0.09, nnz=  46]: FAIL (Max error: 1.81e+44)
Iter 97 [ 18x 35, density=0.27, nnz= 166]: FAIL (Max error: 3.32e+02)
Iter 98 [  9x 27, density=0.31, nnz=  82]: FAIL (Max error: 1.49e+02)
Iter 99 [ 27x 21, density=0.12, nnz= 176]: FAIL (Max error: 2.87e+02)

Some tests failed. (2/100 iterations passed)
